
https://www.walmart.ca/fr/electronique/televiseurs-et-cinemas-maison/televiseurs/N-1170

IssuingNetwork,CardNumber
Visa,0163249163268931    33995
Visa,4532550367041
Visa,40240071821442
Visa,45565989479999
Visa,471643750073891
Visa,45328341386382435
Visa,4929248454271755
Visa,4539067695184540
Visa,4961828587627350
Visa,4532031040229290
Visa,0163245322659318    92622
Visa,4929874832851628
Visa,4539347389300762
Visa,4809054708590825
Visa,4024007125856954
Visa,4716883868872249
Visa,4485709124764111
Visa,4973193363481803
Visa,4716255493342817
Visa,4532707326454682
Visa,4532706686278673
Visa,4929661357839249
Visa,4556683591641538
Visa,4024007145803945
Visa,4716385059620155
Visa,4532343818627831
Visa,4929996375202479
Visa,4929114962601877
Visa,4539816945027168
Visa,4556049561378669
Visa,4556307616509583
Visa,0163249291768776    30424
Visa,4539300061618563
Visa,4532098881330222
Visa,4485099264622927
Visa,4485825223346921
Visa,4539243466405196
Visa,4532148200842546
Visa,4539001256073628
Visa,4929192096995233
Visa,4095113154739105
Visa,4716418486500987
Visa,4556104946650629
Visa,4539291868729952
Visa,4485221648458790
Visa,4532757457686537
Visa,4532173444704682
Visa,4556488270627216
Visa,4539599459701218
Visa,0163247161022733    22942
Visa,4916450478354865
Visa,4716907279121910
Visa,4766489145104627
Visa,4539093759119024
Visa,4556459174937944
Visa,4532160655864354
Visa,4556411177473716
Visa,4260672986841644
Visa,4532439496273185
Visa,4024007184207842
Visa,4532158798102096
Visa,4716351220864874
Visa,4485158803520156
Visa,4539846892370758
Visa,4024007137099148
Visa,4556619085033600
Visa,4556382014861688
Visa,4532631751101016
Visa,4916084515234424
Visa,4916127660906302
Visa,4024007159872463
Visa,4532290864704248
Visa,4532565816712849
Visa,4532829718999379
Visa,4024007196597891
Visa,4716330513562460
Visa,4916491686990025
Visa,4916320238814179
Visa,4532806376092952
Visa,4532912295261569
Visa,4024007141141449
Visa,4024007124809814
Visa,4485350489023957
Visa,4916600276272004
Visa,4485001738019706
Visa,4929865625877465
Visa,4716685000479928
Visa,4904902701331031
Visa,4532338737502222
Visa,4556801339583636
Visa,4610231326096455
Visa,4539718229518450
Visa,4485799516030890
Visa,4532406998026072
Visa,4716775055636710
Visa,4485237676134897
Visa,4916707427915355
Visa,4532596582498685
Visa,4556680882651390
Visa,4556369728819383
MasterCard,5349456571610396
MasterCard,5106986685400220
MasterCard,5507451865675823
MasterCard,5308254802340845
MasterCard,5189363296746575
MasterCard,5138167016617764
MasterCard,5570011375026107
MasterCard,5202517281332088
MasterCard,5542642923534153
MasterCard,5583427983060574
MasterCard,5380564775815875
MasterCard,5249929692177330
MasterCard,5577115204277782
MasterCard,5267242458487910
MasterCard,5205501238568041
MasterCard,5535114401296480
MasterCard,5261800719575439
MasterCard,5370281173832301
MasterCard,5228264963176422
MasterCard,5368956773596513
MasterCard,5136401697775233
MasterCard,5526894574699344
MasterCard,5120219189210750
MasterCard,5156437739609399
MasterCard,5560372977434426
MasterCard,5170072360022653
MasterCard,5409231869166212
MasterCard,5190559592291029
MasterCard,5437047000161599
MasterCard,5166839483190864
MasterCard,5360195446404759
MasterCard,5567843325382346
MasterCard,5302917331921253
MasterCard,5321753947046079
MasterCard,5198270522321926
MasterCard,5379744825277085
MasterCard,5146648208700229
MasterCard,5280095485708382
MasterCard,5104361829219872
MasterCard,5234620299599870
MasterCard,5348374196177694
MasterCard,5186722508304288
MasterCard,5475033661929600
MasterCard,5554988696436018
MasterCard,5149370194912612
MasterCard,5260241362746459
MasterCard,5505716124587528
MasterCard,5119303039973271
MasterCard,5373017140285042
MasterCard,5280211880509586
MasterCard,5280305413243661
MasterCard,5129888687156144
MasterCard,5210404869290733
MasterCard,5595657065683390
MasterCard,5483162877167737
MasterCard,5368363609549032
MasterCard,5474690085393118
MasterCard,5284003824757355
MasterCard,5247642680762854
MasterCard,5206396546480669
MasterCard,5574950022252820
MasterCard,5243822778775976
MasterCard,5280822082510139
MasterCard,5523746112048124
MasterCard,5259362538856361
MasterCard,5161131508290811
MasterCard,5188331080616099
MasterCard,5492521610803289
MasterCard,5347479019337523
MasterCard,5498768525794467
MasterCard,5443482085758740
MasterCard,5592436397084434
MasterCard,5173392863645785
MasterCard,5450282202147573
MasterCard,5117471553440761
MasterCard,5107001081038803
MasterCard,5539078769151452
MasterCard,5560937231996525
MasterCard,5110147130730208
MasterCard,5154646357857260
MasterCard,5444156299653686
MasterCard,5473638080176773
MasterCard,5172569686125571
MasterCard,5117252682984006
MasterCard,5160737897663771
MasterCard,5422000121123094
MasterCard,5380579206460778
MasterCard,5246870527599392
MasterCard,5309891640071725
MasterCard,5125972789904413
MasterCard,5549153799739150
MasterCard,5408520242323404
MasterCard,5259021239429718
MasterCard,5252319579765353
MasterCard,5180878491082780
MasterCard,5439688654069832
MasterCard,5281953031919276
MasterCard,5167287243052017
MasterCard,5329733719706524
MasterCard,5176068729706311
American Express,346442856276271
American Express,344567321440383
American Express,344767777659094
American Express,342544296977469
American Express,341976356895325
American Express,344843418698773
American Express,374028288092496
American Express,345751700776984
American Express,376862488649608
American Express,341633504081080
American Express,346907891920240
American Express,375918328295761
American Express,373014030501571
American Express,342943348750454
American Express,344678330014299
American Express,344811615119562
American Express,344036147250749
American Express,343178687324483
American Express,374581654497392
American Express,370877192606740
American Express,347201329734970
American Express,340264654384958
American Express,347076018348641
American Express,371986479826522
American Express,349329633731768
American Express,348588253029552
American Express,345730134643937
American Express,379151905489591
American Express,376451602325210
American Express,342684778941284
American Express,379697110835887
American Express,375010912533649
American Express,379389806141016
American Express,377644074511601
American Express,345115820246197
American Express,378278589273966
American Express,378270315989338
American Express,375313438575205
American Express,374094587196040
American Express,375866560259690
American Express,373085851148858
American Express,377118685452844
American Express,376155640319263
American Express,371561422723033
American Express,343051258632966
American Express,344289824256261
American Express,347798212115472
American Express,341083631159740
American Express,374974243441791
American Express,373835132595396
American Express,345222809219664
American Express,348220823670992
American Express,340825788236965
American Express,373577145879512
American Express,344205839377595
American Express,348294521770180
American Express,378713076784182
American Express,347582954829015
American Express,343851448727802
American Express,349110379434415
American Express,347407819906065
American Express,347872559892512
American Express,340308442303026
American Express,370123876899263
American Express,349470057020344
American Express,372844300953966
American Express,343062532001456
American Express,375732242176670
American Express,347856660077329
American Express,343481194213094
American Express,348165673271344
American Express,371732382156437
American Express,374175317645669
American Express,374409749943503
American Express,376268312166993
American Express,348532995957498
American Express,374349823336788
American Express,348238072452144
American Express,372150949447422
American Express,348080484517431
American Express,349902578237130
American Express,348832722498174
American Express,344460149318553
American Express,344209482301860
American Express,370646458183086
American Express,376644801190217
American Express,346010147830451
American Express,377876155460494
American Express,370753932843945
American Express,349220112296540
American Express,375635477471486
American Express,347214189583882
American Express,379326855240851
American Express,344094446619205
American Express,346894746826626
American Express,340967126834398
American Express,346777096090911
American Express,341622852613925
American Express,372558070655557
American Express,373187815262245


